name l b n16 n50 n84 f16 f50 f84 m16 m50 m84 d16 d50 d84 p16 p50 p84 sfore16 sfore50 sfore84 sback16 sback50 sback84 New_Sightline? x y z
Corona_Australis 359.5 -21.0 0.743 0.7487 0.7546 0.2037 0.2058 0.2075 6.0401 6.0884 6.1344 161 165 168 0.016 0.0195 0.0236 0.0313 0.0378 0.0455 0.027 0.028 0.0291 1 154 -1 -59
CygnusX 82.9 0.7 0.3886 0.3901 0.3917 1.1822 1.187 1.1918 10.5033 10.5233 10.5457 1260 1272 1285 0.0717 0.0877 0.1051 0.1607 0.1672 0.1745 0.0995 0.1028 0.1064 1 157 1262 15
CygnusX 76.8 2.2 0.368 0.3706 0.3733 0.864 0.8703 0.8767 11.0167 11.0508 11.0703 1597 1622 1637 0.0497 0.06 0.0715 0.0943 0.098 0.102 0.1345 0.1379 0.1415 1 370 1577 62
CygnusX 77.2 2.1 0.3555 0.3582 0.361 0.9375 0.9449 0.9525 10.5689 10.5863 10.6254 1299 1309 1333 0.142 0.1648 0.1848 0.0866 0.0909 0.0957 0.1275 0.1322 0.1376 1 289 1275 47
CygnusX 80.3 -2.4 0.559 0.5616 0.5642 1.2556 1.2616 1.2675 10.7798 10.7938 10.8048 1432 1441 1448 0.1489 0.1672 0.1849 0.1419 0.146 0.1508 0.0915 0.0946 0.0983 1 242 1419 -60
CygnusX 80.5 1.1 0.3379 0.34 0.342 1.212 1.2198 1.2273 10.4052 10.4218 10.4598 1205 1214 1235 0.0614 0.0764 0.093 0.1373 0.142 0.1473 0.1361 0.1401 0.1446 1 200 1197 23
CygnusX 79.0 3.7 0.4533 0.4561 0.459 0.9329 0.9388 0.9448 10.8589 10.8909 10.9241 1485 1507 1530 0.0877 0.1019 0.1166 0.09 0.094 0.0982 0.1143 0.1177 0.1215 1 286 1476 97
CygnusX 77.7 1.3 0.3095 0.3116 0.3137 0.3798 0.4038 0.4293 9.7529 9.7685 9.7972 892 898 910 0.1641 0.1836 0.2026 0.0321 0.0368 0.0413 0.1375 0.1411 0.1453 1 191 877 20
CygnusX 80.0 -0.7 0.3643 0.3717 0.3791 0.8254 0.8686 0.91 9.9462 9.9818 10.0184 975 991 1008 0.0625 0.0985 0.1395 0.0893 0.095 0.1007 0.2574 0.2667 0.2774 1 172 975 -12
CygnusX 79.1 3.0 0.4336 0.4363 0.4388 0.4817 0.4992 0.5171 9.9824 10.0079 10.024 991 1003 1011 0.0824 0.0954 0.1096 0.0368 0.0394 0.042 0.1303 0.1339 0.1383 1 189 983 52
CygnusX 80.3 2.9 0.299 0.3022 0.3057 0.3329 0.3456 0.3577 9.923 9.9422 9.9509 965 973 977 0.122 0.1417 0.1696 0.0251 0.0271 0.0293 0.198 0.2035 0.2094 1 163 957 49
CygnusX 80.2 0.1 0.3829 0.387 0.391 1.1816 1.2995 1.3178 10.4259 10.4437 10.4786 1216 1226 1246 0.073 0.0923 0.1316 0.1299 0.1352 0.1401 0.1813 0.1885 0.1972 1 208 1208 2
CygnusX 82.3 1.0 0.2925 0.2968 0.3013 0.2572 0.2752 0.2937 9.3802 9.4075 9.4485 751 761 775 0.3035 0.337 0.3545 0.0261 0.0287 0.0305 0.2362 0.2406 0.2469 1 101 754 13
CygnusX 78.7 0.6 0.217 0.2199 0.2227 0.3673 0.3956 0.4277 9.7312 9.8168 9.8495 883 919 933 0.2686 0.2954 0.3209 0.0354 0.0402 0.0463 0.2111 0.2147 0.2185 1 180 901 9
Draco 89.5 38.4 0.7674 0.8134 0.8545 0.0456 0.0528 0.0569 8.1982 8.4144 8.6318 436 481 532 0.0183 0.0231 0.0289 0.0301 0.0374 0.048 0.0327 0.036 0.0397 0 3 376 298
GGD4 184.3 -4.2 0.5178 0.5204 0.523 0.6844 0.6993 0.7155 10.6146 10.6511 10.7053 1327 1349 1383 0.0419 0.0491 0.0573 0.0332 0.0358 0.0384 0.0741 0.0765 0.0792 1 -1341 -100 -98
GGD4 185.1 -4.3 0.5439 0.5464 0.5489 0.565 0.5676 0.5702 10.6905 10.725 10.761 1374 1396 1419 0.0192 0.0234 0.0285 0.0501 0.0536 0.0574 0.0578 0.0596 0.0613 1 -1386 -123 -104
Gem_OB1 189.9 -0.3 0.5133 0.5159 0.5186 0.7702 0.7865 0.8023 11.2559 11.2951 11.3083 1783 1815 1826 0.0736 0.084 0.0948 0.0587 0.0608 0.0629 0.0893 0.0924 0.0958 1 -1787 -312 -9
Gem_OB1 189.5 0.7 0.3922 0.4004 0.4084 0.7583 0.774 0.79 11.3336 11.3525 11.3669 1848 1864 1876 0.0323 0.039 0.0519 0.0583 0.0609 0.0632 0.2219 0.2305 0.24 1 -1838 -307 22
Gem_OB1 190.9 0.0 0.5387 0.5419 0.545 1.0988 1.1055 1.112 11.3451 11.354 11.3673 1857 1865 1877 0.1325 0.1515 0.1707 0.0779 0.0805 0.0833 0.081 0.0856 0.0916 1 -1831 -352 0
Gem_OB1 188.7 1.0 0.4958 0.4985 0.5012 0.8149 0.8565 0.8628 11.4628 11.4737 11.4811 1961 1971 1978 0.0536 0.0619 0.071 0.0634 0.0656 0.0678 0.0689 0.0716 0.0744 1 -1948 -298 34
Gem_OB1 193.0 0.6 0.5067 0.5093 0.512 0.9357 0.9405 0.9456 11.1746 11.1863 11.2176 1717 1726 1751 0.0261 0.0326 0.04 0.0713 0.0737 0.076 0.0899 0.093 0.0961 1 -1681 -388 18
